version 3, schema units_tables
Unit_ID(string)	Screen_Name(string)	Category(string)	Class(string)	MP_Cost_Early(int)	MP_Cost_Late(int)	Turns_to_Build(int)	Cost(int)	Upkeep(int)	Campaign_Map_Action_Points(int)	Enabled__x0023__True_x0020_Disabled__x0023__False(boolean)	unknown4(string)	Unit_Icon_Path(string)	Unit_Info_Pic_Path(string)	Localisation_Key(string)	Region_IDRef(optstring)	Unit_Limit(int)	MP_Category(string)	Early_Availability(boolean)	Related_with_x0020_Early_x0020_availability(boolean)	Late_Availability(boolean)	unknown9(int)	Garrison_Availability(boolean)	MP_Unit_Limit(int)
"1st_rate_admiral"	"Admiral's Flagship, 1st Rate"	"naval_line_of_battle"	"naval_admiral"	3670	3020	4	3560	890	78	true	"naval_admiral"	"1st_rate"	"3d_100"	"1st_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	false	false	true	0	false	0
"1st_rate_admiral_american"	"Admiral's Flagship, 1st Rate"	"naval_line_of_battle"	"naval_admiral"	3850	3170	4	3610	900	78	true	"naval_admiral"	"1st_rate"	"3d_100"	"1st_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	false	false	true	0	false	0
"1st_rate_admiral_british"	"Admiral's Flagship, 1st Rate"	"naval_line_of_battle"	"naval_admiral"	3910	3220	4	3630	900	78	true	"naval_admiral"	"1st_rate"	"3d_100"	"1st_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	false	false	true	0	false	0
"1st_rate_admiral_french"	"Admiral's Flagship, 1st Rate"	"naval_line_of_battle"	"naval_admiral"	3750	3090	4	3590	890	78	true	"naval_admiral"	"1st_rate"	"3d_100"	"1st_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	false	false	true	0	false	0
"1st_rate_admiral_russian"	"Admiral's Flagship, 1st Rate"	"naval_line_of_battle"	"naval_admiral"	3670	3020	4	3560	890	78	true	"naval_admiral"	"1st_rate"	"3d_100"	"1st_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	false	false	true	0	false	0
"1st_rate_admiral_spanish"	"Admiral's Flagship, 1st Rate"	"naval_line_of_battle"	"naval_admiral"	3670	3020	4	3550	880	78	true	"naval_admiral"	"1st_rate"	"3d_100"	"1st_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	false	false	true	0	false	0
"1st_rate_american"	"First Rate Ship of the Line"	"naval_line_of_battle"	"naval_first_rate"	3560	2930	4	3250	810	78	true	"naval_captain"	"1st_rate"	"3d_100"	"1st_rate"	"global"	0	"mp_naval_line_of_battle"	false	true	true	5	false	0
"1st_rate_british"	"First Rate Ship of the Line"	"naval_line_of_battle"	"naval_first_rate"	3620	2980	4	3310	820	78	true	"naval_captain"	"1st_rate"	"3d_100"	"1st_rate"	"global"	0	"mp_naval_line_of_battle"	false	false	true	5	false	0
"1st_rate_french"	"First Rate Ship of the Line"	"naval_line_of_battle"	"naval_first_rate"	3460	2850	4	3350	830	78	true	"naval_captain"	"1st_rate"	"3d_100"	"1st_rate"	"global"	0	"mp_naval_line_of_battle"	false	false	true	5	false	0
"1st_rate_russian"	"First Rate Ship of the Line"	"naval_line_of_battle"	"naval_first_rate"	3380	2780	4	3240	810	78	true	"naval_captain"	"1st_rate"	"3d_100"	"1st_rate"	"global"	0	"mp_naval_line_of_battle"	false	false	true	5	false	0
"1st_rate_spanish"	"First Rate Ship of the Line"	"naval_line_of_battle"	"naval_first_rate"	3380	2780	4	3200	800	78	true	"naval_captain"	"1st_rate"	"3d_100"	"1st_rate"	"global"	0	"mp_naval_line_of_battle"	false	false	true	5	false	0
"24_lber_howitzer"	"24-lber Howitzer Foot Artillery"	"artillery"	"artillery_foot"	800	770	2	650	160	22	true	"artillery_howitzer"	"euro_howitzer_24_icon"	"24_lber_howitzer"	"12_lber_howitzer"	"global"	0	"mp_artillery"	false	false	true	0	false	0
"24_lber_howitzer_ottoman"	"24-lber Howitzer Foot Artillery"	"artillery"	"artillery_foot"	800	770	2	640	160	22	true	"artillery_howitzer"	"ott_howitzer_24_icon"	"East_Artillerymen_info_hw24"	"12_lber_howitzer"	"global"	0	"mp_artillery"	true	true	true	0	false	0
"24_lber_land_cannon"	"24-lber Foot Artillery"	"artillery"	"artillery_foot"	670	640	2	890	220	22	true	"artillery_heavy_cannon"	"euro_cannon_24_icon"	"24_lber_land_cannon"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"24_lber_land_cannon_(demi_cannon)"	"Demi-Cannons"	"artillery"	"artillery_fixed"	640	620	2	710	170	22	true	"artillery_demi_cannon"	"euro_ancient_cannon_24_icon"	"euro_artillery_info_sk24"	"24_lber_land_cannon_(demi_cannon)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"24_lber_land_cannon_(demi_cannon)_east"	"Demi-Cannons"	"artillery"	"artillery_fixed"	660	630	2	700	170	22	true	"artillery_demi_cannon"	"ott_cannon_24_icon"	"East_Artillerymen_info_cn24"	"24_lber_land_cannon_(demi_cannon)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"24_lber_land_cannon_(demi_cannon)_indian"	"Cannons"	"artillery"	"artillery_fixed"	660	630	2	700	170	22	true	"artillery_demi_cannon"	"ott_cannon_24_icon"	"East_Artillerymen_info_cn24"	"24_lber_land_cannon_(demi_cannon)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"24_lber_land_cannon_east"	"24-lber Foot Artillery"	"artillery"	"artillery_foot"	670	640	2	860	210	22	true	"artillery_heavy_cannon"	"ott_cannon_24_icon"	"East_Artillerymen_info_cn24"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"24_lber_land_cannon_guard"	"24-lber Guard Artillery"	"artillery"	"artillery_foot"	860	800	3	1140	280	22	true	"artillery_heavy_cannon"	"euro_cannon_24_icon"	"24_lber_land_cannon_guard"	"12_lber_land_cannon"	"global"	4	"mp_artillery"	false	false	true	0	false	0
"24_lber_land_cannon_indian"	"24-lber Foot Artillery"	"artillery"	"artillery_foot"	670	640	2	860	210	22	true	"artillery_medium_cannon"	"ott_cannon_24_icon"	"East_Artillerymen_info_cn24"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"24_lber_ship_fort_cannon"	"24-lber Garrison Artillery"	"artillery"	"artillery_fixed"	640	620	2	700	170	1	true	"artillery_garrison"	""	"24_lber_ship_fort_cannon"	"12_lber_ship_fort_cannon"	"global"	0	"mp_artillery"	false	false	false	0	false	0
"2nd_rate"	"Second Rate Ship of the Line"	"naval_line_of_battle"	"naval_second_rate"	2830	2330	3	2650	660	78	true	"naval_captain"	"2nd_rate"	"3d_80"	"2nd_rate_british"	"global"	0	"mp_naval_line_of_battle"	true	false	true	0	false	0
"2nd_rate_american"	"Second Rate Ship of the Line"	"naval_line_of_battle"	"naval_second_rate"	2980	2460	3	2680	670	78	true	"naval_captain"	"2nd_rate"	"3d_80"	"2nd_rate_british"	"global"	0	"mp_naval_line_of_battle"	true	false	true	0	false	0
"2nd_rate_british"	"Second Rate Ship of the Line"	"naval_line_of_battle"	"naval_second_rate"	3030	2500	3	2720	680	78	true	"naval_captain"	"2nd_rate"	"3d_80"	"2nd_rate_british"	"global"	0	"mp_naval_line_of_battle"	true	false	true	0	false	0
"2nd_rate_french"	"Second Rate Ship of the Line"	"naval_line_of_battle"	"naval_second_rate"	2910	2390	3	2680	670	78	true	"naval_captain"	"2nd_rate"	"3d_80"	"2nd_rate_british"	"global"	0	"mp_naval_line_of_battle"	true	false	true	0	false	0
"2nd_rate_spanish"	"Second Rate Ship of the Line"	"naval_line_of_battle"	"naval_second_rate"	2830	2330	3	2650	660	78	true	"naval_captain"	"2nd_rate"	"3d_80"	"2nd_rate_british"	"global"	0	"mp_naval_line_of_battle"	true	false	true	0	false	0
"3_lber_land_cannon_galloper"	"3-lber Horse Artillery"	"artillery"	"artillery_horse"	680	650	1	850	210	25	true	"artillery_light_horse"	"euro_cannon_03_galloper_icon"	"3_lber_land_cannon_galloper"	"12_lber_land_cannon_galloper"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"3rd_rate"	"Third Rate Ship of the Line"	"naval_line_of_battle"	"naval_third_rate"	2190	1810	3	2160	540	78	true	"naval_captain"	"3rd_rate"	"2d_74"	"3rd_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"3rd_rate_admiral"	"Admiral's Flagship, 3rd Rate"	"naval_line_of_battle"	"naval_admiral"	2440	2010	3	2510	620	78	true	"naval_admiral"	"3rd_rate"	"2d_74"	"3rd_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"3rd_rate_admiral_american"	"Admiral's Flagship, 3rd Rate"	"naval_line_of_battle"	"naval_admiral"	2560	2110	3	2510	620	78	true	"naval_admiral"	"3rd_rate"	"2d_74"	"3rd_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"3rd_rate_admiral_british"	"Admiral's Flagship, 3rd Rate"	"naval_line_of_battle"	"naval_admiral"	2610	2150	3	2540	630	78	true	"naval_admiral"	"3rd_rate"	"2d_74"	"3rd_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"3rd_rate_admiral_french"	"Admiral's Flagship, 3rd Rate"	"naval_line_of_battle"	"naval_admiral"	2500	2060	3	2530	630	78	true	"naval_admiral"	"3rd_rate"	"2d_74"	"3rd_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"3rd_rate_admiral_russian"	"Admiral's Flagship, 3rd Rate"	"naval_line_of_battle"	"naval_admiral"	2440	2010	3	2510	620	78	true	"naval_admiral"	"3rd_rate"	"2d_74"	"3rd_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"3rd_rate_admiral_spanish"	"Admiral's Flagship, 3rd Rate"	"naval_line_of_battle"	"naval_admiral"	2440	2010	3	2500	620	78	true	"naval_admiral"	"3rd_rate"	"2d_74"	"3rd_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"3rd_rate_american"	"Third Rate Ship of the Line"	"naval_line_of_battle"	"naval_third_rate"	2310	1900	3	2130	530	78	true	"naval_captain"	"3rd_rate"	"2d_74"	"3rd_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"3rd_rate_british"	"Third Rate Ship of the Line"	"naval_line_of_battle"	"naval_third_rate"	2360	1940	3	2200	550	78	true	"naval_captain"	"3rd_rate"	"2d_74"	"3rd_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"3rd_rate_french"	"Third Rate Ship of the Line"	"naval_line_of_battle"	"naval_third_rate"	2250	1850	3	2240	560	78	true	"naval_captain"	"3rd_rate"	"2d_74"	"3rd_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"3rd_rate_russian"	"Third Rate Ship of the Line"	"naval_line_of_battle"	"naval_third_rate"	2190	1810	3	2160	540	78	true	"naval_captain"	"3rd_rate"	"2d_74"	"3rd_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"3rd_rate_spanish"	"Third Rate Ship of the Line"	"naval_line_of_battle"	"naval_third_rate"	2190	1810	3	2150	530	78	true	"naval_captain"	"3rd_rate"	"2d_74"	"3rd_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"4_inch_mortar"	"4-inch Mortar Battery"	"artillery"	"artillery_fixed"	920	880	1	950	230	22	true	"artillery_light_mortar"	"euro_mortar_04_icon"	"4_inch_mortar"	"4_inch_mortar"	"global"	0	"mp_artillery"	true	true	true	0	false	0
"4_inch_mortar_indian"	"Mortars"	"artillery"	"artillery_fixed"	920	880	1	950	230	22	true	"artillery_light_mortar"	"ott_mortar_04_icon"	"East_Artillerymen_info_mo04"	"4_inch_mortar"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"4th_rate"	"Fourth Rate Ship of the Line"	"naval_line_of_battle"	"naval_fourth_rate"	1490	1230	3	1820	450	78	true	"naval_captain"	"4th_rate"	"2d_64"	"4th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"4th_rate_american"	"Fourth Rate Ship of the Line"	"naval_line_of_battle"	"naval_fourth_rate"	1570	1290	3	1770	440	78	true	"naval_captain"	"4th_rate"	"2d_64"	"4th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"4th_rate_british"	"Fourth Rate Ship of the Line"	"naval_line_of_battle"	"naval_fourth_rate"	1600	1320	3	1850	460	78	true	"naval_captain"	"4th_rate"	"2d_64"	"4th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"4th_rate_french"	"Fourth Rate Ship of the Line"	"naval_line_of_battle"	"naval_fourth_rate"	1530	1260	3	1920	480	78	true	"naval_captain"	"4th_rate"	"2d_64"	"4th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"4th_rate_frigate_standard"	"Fourth Rate Frigate"	"naval_frigate"	"naval_fourth_rate"	1490	1230	3	1810	450	78	true	"naval_captain"	"4th_rate"	"2d_64"	"4th_rate_frigate_standard"	"global"	0	"mp_naval_line_of_battle"	false	true	false	0	false	0
"4th_rate_spanish"	"Fourth Rate Ship of the Line"	"naval_line_of_battle"	"naval_fourth_rate"	1490	1230	3	1820	450	78	true	"naval_captain"	"4th_rate"	"2d_64"	"4th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate"	"Fifth Rate"	"naval_frigate"	"naval_fifth_rate"	1380	1140	2	1280	320	83	true	"naval_captain"	"5th_rate"	"2d_44"	"5th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate_admiral"	"Admiral's Flagship, 5th Rate"	"naval_frigate"	"naval_admiral"	1620	1330	2	1560	390	83	true	"naval_admiral"	"5th_rate"	"2d_44"	"5th_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate_admiral_american"	"Admiral's Flagship, 5th Rate"	"naval_frigate"	"naval_admiral"	1710	1410	2	1560	390	83	true	"naval_admiral"	"5th_rate"	"2d_44"	"5th_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate_admiral_british"	"Admiral's Flagship, 5th Rate"	"naval_frigate"	"naval_admiral"	1750	1440	2	1570	390	83	true	"naval_admiral"	"5th_rate"	"2d_44"	"5th_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate_admiral_french"	"Admiral's Flagship, 5th Rate"	"naval_frigate"	"naval_admiral"	1660	1370	2	1580	390	83	true	"naval_admiral"	"5th_rate"	"2d_44"	"5th_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate_admiral_russian"	"Admiral's Flagship, 5th Rate"	"naval_frigate"	"naval_admiral"	1620	1330	2	1560	390	83	true	"naval_admiral"	"5th_rate"	"2d_44"	"5th_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate_admiral_spanish"	"Admiral's Flagship, 5th Rate"	"naval_frigate"	"naval_admiral"	1620	1330	2	1540	380	83	true	"naval_admiral"	"5th_rate"	"2d_44"	"5th_rate_admiral"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate_american"	"Fifth Rate"	"naval_frigate"	"naval_fifth_rate"	1470	1210	2	1260	310	83	true	"naval_captain"	"5th_rate"	"2d_44"	"5th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate_british"	"Fifth Rate"	"naval_frigate"	"naval_fifth_rate"	1510	1240	2	1300	320	83	true	"naval_captain"	"5th_rate"	"2d_44"	"5th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate_french"	"Fifth Rate"	"naval_frigate"	"naval_fifth_rate"	1430	1180	2	1410	350	83	true	"naval_captain"	"5th_rate"	"2d_44"	"5th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate_russian"	"Fifth Rate"	"naval_frigate"	"naval_fifth_rate"	1380	1140	2	1310	320	83	true	"naval_captain"	"5th_rate"	"2d_44"	"5th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"5th_rate_spanish"	"Fifth Rate"	"naval_frigate"	"naval_fifth_rate"	1380	1140	2	1270	310	83	true	"naval_captain"	"5th_rate"	"2d_44"	"5th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"6_lber_land_cannon_galloper"	"6-lber Horse Artillery"	"artillery"	"artillery_horse"	690	660	1	870	210	24	true	"artillery_light_horse"	"euro_cannon_06_galloper_icon"	"6_lber_land_cannon_galloper"	"12_lber_land_cannon_galloper"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"64_lber_fort_carronade"	"64-lber Garrison Carronades"	"artillery"	"artillery_fixed"	590	570	3	680	170	1	true	"artillery_great_cannon"	""	"placeholder"	"64_lber_fort_carronade"	"global"	0	"mp_artillery"	false	false	false	0	false	0
"64_lber_land_cannon_elephant"	"64-lber Great Gun"	"artillery"	"artillery_fixed"	860	800	3	950	230	24	true	"artillery_elephant"	"ott_cannon_64_icon"	"East_Artillerymen_info_cn64"	"64_lber_land_cannon_elephant"	"india"	0	"mp_artillery"	false	true	true	0	false	0
"64_lber_siege_cannon"	"64-lber Heavy Artillery"	"artillery"	"artillery_fixed"	860	800	3	950	230	21	true	"artillery_siege_guns"	"ott_cannon_64_icon"	"East_Artillerymen_info_cn64"	"64_lber_land_cannon_elephant"	"global"	0	"mp_artillery"	false	false	true	0	false	0
"6th_rate"	"Sixth Rate"	"naval_frigate"	"naval_sixth_rate"	740	610	2	920	230	83	true	"naval_captain"	"6th_rate"	"1d_24"	"6th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"6th_rate_american"	"Sixth Rate"	"naval_frigate"	"naval_sixth_rate"	790	650	2	890	220	83	true	"naval_captain"	"6th_rate"	"1d_24"	"6th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"6th_rate_british"	"Sixth Rate"	"naval_frigate"	"naval_sixth_rate"	800	660	2	940	230	83	true	"naval_captain"	"6th_rate"	"1d_24"	"6th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"6th_rate_british_tutorial"	"Sixth Rate"	"naval_frigate"	"naval_sixth_rate"	1000	1000	2	900	220	83	true	"naval_captain"	"6th_rate"	"1d_24"	"6th_rate"	"global"	0	"mp_naval_line_of_battle"	false	false	false	0	false	0
"6th_rate_french"	"Sixth Rate"	"naval_frigate"	"naval_sixth_rate"	770	630	2	1040	260	83	true	"naval_captain"	"6th_rate"	"1d_24"	"6th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"6th_rate_russian"	"Sixth Rate"	"naval_frigate"	"naval_sixth_rate"	740	610	2	920	230	83	true	"naval_captain"	"6th_rate"	"1d_24"	"6th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"6th_rate_spanish"	"Sixth Rate"	"naval_frigate"	"naval_sixth_rate"	740	610	2	910	220	83	true	"naval_captain"	"6th_rate"	"1d_24"	"6th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"8_inch_mortar"	"8-inch Mortar Battery"	"artillery"	"artillery_fixed"	880	840	1	650	160	21	true	"artillery_heavy_mortar"	"euro_mortar_08_icon"	"8_inch_mortar"	"4_inch_mortar"	"global"	0	"mp_artillery"	false	false	true	0	false	0
"8_inch_mortar_east"	"Bombardment Mortars"	"artillery"	"artillery_fixed"	880	840	1	650	160	21	true	"artillery_heavy_mortar"	"ott_mortar_08_icon"	"East_Artillerymen_info_mo08"	"4_inch_mortar"	"global"	0	"mp_artillery"	false	false	true	0	false	0
"8_inch_mortar_indian"	"Large Mortars"	"artillery"	"artillery_fixed"	880	840	1	650	160	21	true	"artillery_heavy_mortar"	"ott_mortar_08_icon"	"East_Artillerymen_info_mo08"	"4_inch_mortar"	"global"	0	"mp_artillery"	false	false	true	0	false	0
"9_lber_land_cannon_(saker)"	"Sakers"	"artillery"	"artillery_fixed"	610	590	2	660	160	22	true	"artillery_sakers"	"euro_ancient_cannon_09_icon"	"9_lber_land_cannon_(saker)"	"9_lber_land_cannon_(saker)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"9_lber_land_cannon_(saker)_east"	"9-lber Artillery"	"artillery"	"artillery_fixed"	610	590	2	670	160	22	true	"artillery_sakers"	"ott_cannon_09_icon"	"East_Artillerymen_info_cn09"	"9_lber_land_cannon_(saker)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"9_lber_land_cannon_(saker)_indian"	"Guns"	"artillery"	"artillery_fixed"	610	590	2	670	160	22	true	"artillery_sakers"	"ott_cannon_09_icon"	"East_Artillerymen_info_cn09"	"9_lber_land_cannon_(saker)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"african_slaver_musketeers"	"African Musketeers"	"infantry"	"infantry_militia"	510	460	1	690	170	24	true	"infantry_generic"	"african_slaver_musketeers_icon_infm"	"african_slaver_musketeers"	"african_slaver_musketeers"	"west_indies"	0	"mp_infantry"	false	false	false	0	false	0
"african_tribal_spearmen"	"African Spearmen"	"infantry"	"infantry_melee"	390	340	1	540	130	24	true	"infantry_spearmen"	""	"placeholder"	"african_slaver_musketeers"	"west_indies"	0	"mp_infantry"	false	false	false	0	false	0
"american_heavy_frigate"	"24-pounder Frigate"	"naval_frigate"	"naval_razee"	1650	1360	2	2080	520	83	true	"naval_captain"	"razee"	"razee"	"american_heavy_frigate"	"global"	0	"mp_naval_line_of_battle"	false	false	true	0	false	0
"americas_dragoons"	"Dragoons"	"dragoons"	"dragoons"	860	760	1	1090	320	28	true	"dragoons"	"euro_dragoons"	"dragoons"	"euro_dragoons"	"americas"	0	"mp_cavalry"	false	false	false	0	false	0
"americas_hessian_infantry"	"Hessian Line Infantry"	"infantry"	"infantry_line"	640	590	1	870	210	24	true	"infantry_generic"	"Euro_Expat_Infantry_icon_infm"	"Euro_Expat_Infantry_info_infm"	"euro_line_infantry"	"americas"	5	"mp_infantry"	true	true	false	0	false	0
"americas_line_infantry"	"Line Infantry"	"infantry"	"infantry_line"	810	740	1	1060	260	24	true	"infantry_generic"	"euro_line_infantry"	"euro_line_infantry"	"euro_line_infantry"	"americas"	0	"mp_infantry"	false	false	false	0	false	0
"americas_long_rifle_men"	"Long Rifle Men"	"infantry"	"infantry_irregulars"	780	680	2	990	240	25	true	"infantry_generic"	"Euro_long_rifleman_icon_infm"	"Euro_long_rifleman_info_infm"	"americas_long_rifle_men"	"americas"	0	"mp_infantry"	false	true	true	0	false	0
"americas_militia_infantry"	"Militia Infantry"	"infantry"	"infantry_militia"	540	480	1	720	180	24	true	"infantry_generic"	"Euro_Militia_Infantry_icon_infm"	"Euro_Militia_Infantry_info_infm"	"euro_militia_infantry"	"global"	0	"mp_infantry"	true	true	true	0	false	0
"americas_provincial_cavalry"	"Provincial Cavalry"	"cavalry"	"cavalry_standard"	540	480	1	730	210	28	true	"cavalry_generic"	"Euro_Provincial_Cavalry_icon_cavs"	"euro_provincial_cavalry"	"euro_provincial_cavalry"	"americas"	0	"mp_cavalry"	false	false	false	0	false	0
"americas_regiment_of_horse"	"Regiment of Horse"	"cavalry"	"cavalry_standard"	700	620	1	910	270	28	true	"cavalry_generic"	"euro_regiment_of_horse"	"euro_regiment_of_horse"	"euro_regiment_of_horse"	"americas"	0	"mp_cavalry"	false	false	false	0	false	0
